day,version,downloads
2026-06-10,0.2.2,7
2026-06-10,0.1.0,4
2026-06-10,0.2.0,4
2026-06-10,0.2.1,4
2026-06-09,0.2.2,7
2026-06-09,0.1.0,5
2026-06-09,0.2.1,5
2026-06-09,0.2.0,5
2026-06-08,0.2.2,9
2026-06-08,0.2.0,8
2026-06-08,0.2.1,8
2026-06-08,0.1.0,8
2026-06-07,0.2.2,8
2026-06-07,0.1.0,2
2026-06-07,0.2.1,2
2026-06-07,0.2.0,2
2026-06-06,0.2.2,23
2026-06-06,0.2.1,14
2026-06-06,0.2.0,6
2026-06-06,0.1.0,5
2026-06-05,0.2.2,13
2026-06-05,0.2.1,6
2026-06-05,0.1.0,6
2026-06-05,0.2.0,4
2026-06-04,0.2.2,7
2026-06-04,0.1.0,2
2026-06-04,0.2.0,2
2026-06-04,0.2.1,2
2026-06-03,0.2.2,5
2026-06-03,0.1.0,3
2026-06-03,0.2.0,2
2026-06-03,0.2.1,2
2026-06-02,0.2.2,5
2026-06-02,0.2.1,5
2026-06-02,0.2.0,3
2026-06-02,0.1.0,1
2026-06-01,0.2.2,5
2026-06-01,0.2.0,4
2026-06-01,0.2.1,3
2026-06-01,0.1.0,3
2026-05-31,0.2.2,4
2026-05-30,0.2.2,3
2026-05-29,0.2.2,4
2026-05-28,0.1.0,2
2026-05-28,0.2.2,2
2026-05-28,0.2.0,2
2026-05-28,0.2.1,2
2026-05-27,0.2.1,2
2026-05-27,0.2.0,2
2026-05-27,0.2.2,2
2026-05-27,0.1.0,2
2026-05-26,0.2.1,4
2026-05-26,0.2.2,4
2026-05-26,0.2.0,2
2026-05-25,0.2.2,3
2026-05-25,0.2.1,2
2026-05-25,0.2.0,2
2026-05-25,0.1.0,2
2026-05-24,0.2.2,6
2026-05-24,0.2.0,6
2026-05-24,0.2.1,6
2026-05-24,0.1.0,6
2026-05-23,0.2.2,10
2026-05-23,0.2.1,6
2026-05-23,0.2.0,6
2026-05-23,0.1.0,4
2026-05-22,0.2.2,3
2026-05-21,0.2.2,5
2026-05-21,0.2.1,5
2026-05-21,0.1.0,3
2026-05-21,0.2.0,2
2026-05-20,0.2.2,2
2026-05-20,0.2.0,2
2026-05-20,0.2.1,2
2026-05-19,0.2.2,3
2026-05-19,0.2.1,2
2026-05-19,0.2.0,2
2026-05-19,0.1.0,2
2026-05-18,0.2.2,9
2026-05-18,0.2.1,6
2026-05-18,0.1.0,4
2026-05-18,0.2.0,4
2026-05-17,0.2.2,5
2026-05-17,0.2.1,4
2026-05-17,0.2.0,2
2026-05-17,0.1.0,2
2026-05-16,0.2.2,5
2026-05-16,0.2.1,4
2026-05-16,0.2.0,2
2026-05-16,0.1.0,2
2026-05-15,0.2.1,4
2026-05-15,0.2.2,4
2026-05-15,0.1.0,2
2026-05-14,0.2.2,14
2026-05-14,0.2.1,13
2026-05-14,0.2.0,8
2026-05-14,0.1.0,8
2026-05-13,0.2.2,18
2026-05-13,0.2.1,13
2026-05-13,0.2.0,3
2026-05-13,0.1.0,2
2026-05-12,0.2.2,31
2026-05-12,0.2.1,28
2026-05-12,0.2.0,11
2026-05-12,0.1.0,9
2026-05-11,0.2.1,531
2026-05-11,0.2.2,208
2026-05-11,0.2.0,36
2026-05-11,0.1.0,21
2026-05-10,0.2.0,6
2026-05-10,0.1.0,4
2026-05-09,0.2.0,4
2026-05-09,0.1.0,2
2026-05-08,0.2.0,5
2026-05-08,0.1.0,5
2026-05-07,0.1.0,8
2026-05-07,0.2.0,8
2026-05-06,0.2.0,29
2026-05-06,0.1.0,21
2026-05-05,0.2.0,40
2026-05-05,0.1.0,25
2026-05-04,0.1.0,218
2026-05-04,0.2.0,185
